URLs,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0,torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,1,1,0,0
0,kenh14.vn,0,0,1,2,0,0,0,0,0,0,1,1,0,1,1,0,0
0,kakaku.com,0,0,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0
0,kenh14.vn,0,0,1,2,0,0,0,0,0,0,1,1,0,1,1,0,0
0,plarium.com,0,0,1,5,0,0,0,0,0,0,1,1,1,1,1,1,0
0,allrecipes.com,0,0,1,3,0,0,0,0,0,0,1,1,0,1,1,1,0
0,dantri.com.vn,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0
0,jezebel.com,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0
0,correios.com.br,0,0,1,4,0,0,0,0,0,0,1,1,1,1,1,1,0
0,zozo.jp,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0
0,kakaku.com,0,0,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0
0,techcrunch.com,0,0,1,4,0,0,0,0,0,0,1,1,0,1,1,0,0
0,techcrunch.com,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0
0,censor.net.ua,0,0,1,3,0,0,0,0,0,0,0,1,1,1,1,1,0
0,distractify.com,0,0,1,10,0,0,0,0,0,0,1,1,1,1,1,1,0
0,deadspin.com,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0
0,atwiki.jp,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0
0,ap.org,0,0,1,4,0,0,0,0,0,0,0,1,0,1,1,1,0
0,grantland.com,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0
0,ap.org,0,0,1,4,0,0,0,0,0,0,0,1,0,1,1,1,0
0,oneplus.net,0,0,1,4,0,0,0,0,0,0,1,0,1,1,1,1,0
0,themeforest.net,0,0,1,4,0,0,0,0,0,0,1,1,1,1,1,1,0
0,tobogo.net,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,0,0
0,akhbarelyom.com,0,0,1,5,0,0,0,0,0,0,1,1,0,1,1,0,0
0,web.de,0,0,1,4,0,0,0,0,0,0,1,1,1,1,1,1,0
0,slashdot.org,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0
0,distractify.com,0,0,1,10,0,0,0,0,0,0,1,1,1,1,1,1,0
0,persianblog.ir,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0
0,motthegioi.vn,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0
0,katproxy.com,0,0,1,3,0,0,0,0,0,0,0,1,1,1,1,0,0
0,ink361.com,0,0,1,6,0,0,0,0,0,0,1,1,0,1,1,0,0
0,torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,1,1,0,0
0,medium.com,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0
0,techcrunch.com,0,0,1,4,0,0,0,0,0,0,1,1,0,1,1,0,0
0,thenextweb.com,0,0,1,5,0,0,0,0,0,0,0,1,1,1,1,1,0
0,variety.com,0,0,1,4,0,0,0,0,0,0,0,1,0,1,1,0,0
0,nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
0,haberler.com,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0
0,babal.net,0,0,1,4,0,0,0,0,0,0,1,1,1,1,1,1,0
0,torrentdn.com,0,0,1,2,0,0,0,0,0,0,1,1,0,1,1,0,0
0,onedio.com,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,0,0
0,jalopnik.com,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0
0,icicibank.com,0,0,1,4,0,0,0,0,0,0,0,1,0,1,1,1,0
0,olx.co.id,0,0,1,2,0,0,1,0,0,0,0,1,1,1,1,1,0
0,grantland.com,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0
0,distractify.com,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0
0,1337x.to,0,0,1,3,0,0,0,0,0,0,1,1,0,1,1,0,0
0,tunein.com,0,0,1,5,0,0,0,0,0,0,0,0,0,1,1,1,0
0,distractify.com,0,0,1,10,0,0,0,0,0,0,1,1,1,1,1,1,0
0,serverfault.com,0,0,1,3,0,0,1,0,0,0,1,1,0,1,1,0,0
0,mylust.com,0,0,1,3,0,0,1,0,0,0,1,1,0,1,1,0,0
0,zozo.jp,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0
0,metro.co.uk,0,0,1,4,0,0,0,0,0,0,0,1,0,1,1,0,0
0,udn.com,0,0,1,4,0,0,0,0,0,0,0,1,0,1,1,0,0
0,allegro.pl,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,1,0
0,ap.org,0,0,1,4,0,0,0,0,0,0,0,1,1,1,1,1,0
0,thenextweb.com,0,0,1,6,0,0,0,0,0,0,0,1,1,1,1,1,0
0,myegy.to,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0
0,qz.com,0,0,1,2,0,0,0,0,0,0,1,1,0,1,1,0,0
0,allegro.pl,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,1,0
0,sfglobe.com,0,0,1,4,0,0,0,0,0,0,1,1,1,1,1,1,0
0,jezebel.com,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
0,bigcinema.tv,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0
0,olx.ro,0,0,1,6,0,0,0,0,0,0,0,1,1,1,1,1,0
0,tunein.com,0,0,1,5,0,0,0,0,0,0,0,0,0,1,1,1,0
0,zozo.jp,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0
0,nypost.com,0,0,1,4,0,0,1,0,0,0,1,1,0,1,1,0,0
0,twitter.com,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
